country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Andorra,AND,1/31/2021,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra
Argentina,ARG,1/31/2021,,,,,11299,,,,250,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,1/31/2021,200498,185291,15207,3319,8709,2.23,2.06,0.17,967,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Bahrain,BHR,1/31/2021,171568,171568,,1135,1841,10.08,10.08,,1082,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1357433853447729159
Belgium,BEL,1/31/2021,315448,294027,21421,857,11282,2.72,2.54,0.18,973,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Bolivia,BOL,1/31/2021,67,,,28,22,0,,,2,Sputnik V,Ministry of Health,https://boliviasegura.gob.bo/noticias/
Brazil,BRA,1/31/2021,2074059,2046523,,70848,209905,0.98,0.96,,988,"Oxford/AstraZeneca, Sinovac",Regional governments via Coronavirus Brasil,https://coronavirusbra1.github.io/
Bulgaria,BGR,1/31/2021,41125,28041,13084,105,2140,0.59,0.4,0.19,308,"Moderna, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,1/31/2021,,,,,25221,,,,668,"Moderna, Pfizer/BioNTech",Government of Canada,https://health-infobase.canada.ca/covid-19/vaccination-coverage/
Cayman Islands,CYM,1/31/2021,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-statistics#vaccine-dashboard
Chile,CHL,1/31/2021,,,,,919,,,,48,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://informesdeis.minsal.cl/SASVisualAnalytics/?reportUri=%2Freports%2Freports%2F1a8cc7ff-7df0-474f-a147-929ee45d1900&sectionIndex=0&sso_guest=true&reportViewOnly=true&reportContextBar=false&sas-welcome=false
China,CHN,1/31/2021,24000000,24000000,,,651673,1.67,1.67,,453,"CNBG, Sinovac",National Health Commission,https://news.yahoo.com/china-administered-31-2-million-071552622.html
Costa Rica,CRI,1/31/2021,,,,,1555,,,,305,Pfizer/BioNTech,National Health Commission,https://www.swissinfo.ch/spa/coronavirus-costa-rica_costa-rica-ha-aplicado-57.701-vacunas-contra-la-covid-19/46336712
Croatia,HRV,1/31/2021,,,,,2045,,,,498,Pfizer/BioNTech,Ministry of Health,https://vlada.gov.hr/vijesti/i-dalje-potreban-oprez-730-novih-slucajeva-zaraze/31434
Czechia,CZE,1/31/2021,273094,233916,39178,1815,10001,2.55,2.18,0.37,934,"Moderna, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,1/31/2021,277136,188775,88361,13321,9153,4.78,3.26,1.53,1580,"Moderna, Pfizer/BioNTech",Statens Serum Institut,https://files.ssi.dk/covid19/vaccinationstilslutning/vaccinationstilslutning-04022021-n1z9
Ecuador,ECU,1/31/2021,,,,,472,,,,27,Pfizer/BioNTech,Government of Ecuador,https://drive.google.com/file/d/1HRz845fa451ZHJmxSDlJAD92CAr75VFs/view
England,,1/31/2021,8543262,8082355,460907,292116,339126,15.18,14.36,0.82,6025,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
